Domain,Provider,Provider_Role,Provider_Subrole,Annotation_Confidence,Annotation_Note,Cluster_IDs,Num_Clusters,Num_Vendors_Observed,Num_Devices_Observed
update-drcn.platform.hicloud.com,Huawei,Foundational Cloud Provider,Application-level service provider,High,Huawei update endpoint,C0061,1,2,2
weather-drcn.music.hicloud.com,Huawei,Foundational Cloud Provider,Application-level service provider,Medium,Huawei weather/application service endpoint,C0055,1,2,2
wisedevice-hilink-drcn.things.dbankcloud.cn,Huawei,IoT Platform Provider,,High,Huawei HiLink/wise device IoT endpoint,C0061,1,2,2
www.baidu.com,Baidu,Foundational Cloud Provider,Application-level service provider,Low,Generic Baidu web/service endpoint; may be used as connectivity check,C0051,1,3,3
www.google.com,Google,Foundational Cloud Provider,Application-level service provider,Medium,Generic Google web/service endpoint,C0011|C0026|C0032|C0045,4,3,8
www.googleapis.com,Google,Foundational Cloud Provider,Application-level service provider,High,Google APIs endpoint,C0056,1,2,2
www.gstatic.com,Google,Foundational Cloud Provider,Network infrastructure provider,High,Google static resource hosting endpoint; retained as network/static infrastructure,C0012|C0013|C0022|C0032|C0056,5,3,8
www.meethue.com,Philips Hue,IoT Platform Provider,,High,Philips Hue ecosystem/service endpoint,C0049,1,2,3
xiaomi10.p2psy2.mijia.tech,Xiaomi,IoT Platform Provider,,High,Mijia P2P smart device endpoint,C0047,1,2,3
xiaomi10.p2psy3.mijia.tech,Xiaomi,IoT Platform Provider,,High,Mijia P2P smart device endpoint,C0047,1,2,3
